URL;"ETA Number";Version;"Date of issue";"Trade Name";"Generic type and use";"Holder of assesment";"Holder Address";"Holder Postal Code";"Holder City";"Holder Country";"Issuing TAB";"Reference number";"EU Decisioin number(OJEU)";System
https://www.eota.eu/etassessments/5319;04/0015;1;28/06/2017;"webertherm motex";"External Thermal Insulation Composite Systems with rendering used as an EAD";"Saint Gobain Weber France 2";"Rue de Brie - BP 84 - Servon 3";77253;"Brie - Comte - Robert cedex";France;CSTB;"ETAG 004 used as EAD";1997/0556/EC;"1, 2+"
https://www.eota.eu/etassessments/7111;04/0019;1;16/05/2018;"Triflex ProTerra";"Liquid applied roof waterproofing kit used as an EAD";"Triflex GmbH & Co. KG";"Karlstraße 59";32423;Minden;Germany;DIBt;"ETAG 005 used as EAD";1998/0599/EC
https://www.eota.eu/etassessments/15947;04/0020;2;18/10/2022;"Roof waterproofing ""ENKOPUR""";"Liquid applied roof waterproofing kits";"ENKE-WERK Johannes Enke GmbH & Co. KG";"Hamburger Straße 16";40221;Düsseldorf;Germany;DIBt;"EAD 030350-00-0402";1998/0599/EC
https://www.eota.eu/etassessments/8061;04/0021;1;03/06/2018;"Roof waterproofing ""ENKRYL""";"Liquid applied roof waterproofing kits used as an EAD";"ENKE-WERK Johannes Enke GmbH & Co. KG";"Hamburger Straße 16";40221;Düsseldorf;Germany;DIBt;"ETAG 005 used as EAD";1998/0599/EC
https://www.eota.eu/etassessments/2440;04/0022;1;22/02/2016;Inopanne;"Light composite wood-based beams & columns used as an EAD";"France Poutres";"2 rue Louis Blériot ZA";"FR- 85190";Venensault;France;CSTB;"ETAG 011 used as EAD";1999/0092/EC;1
https://www.eota.eu/etassessments/16678;04/0023;2;04/06/2023;"ejotherm STR U, ejotherm STR U 2G and ejotherm SDK U";"Plastic anchors made of virgin or non-virgin material for fixing of ETICS with rendering";"EJOT SE & Co. KG";"Astenbergstraße 21";57319;"Bad Berleburg";Germany;DIBt;"EAD 330196-01-0604";1997/0463/EC;2+
https://www.eota.eu/etassessments/6630;04/0026;1;24/04/2018;"Kunkel anchor K6, K6+, K6L and K8";"Metal anchors for use in concrete";"Kunkel GmbH Befestigungssysteme";"Jakobstraße 24";;;Germany;DIBt;"ETAG 001 used as EAD";1997/0161/EC;2+
https://www.eota.eu/etassessments/7184;04/0027;1;16/05/2018;"Hilti Injection System HIT-RE 500";"Bonded fasteners for use in concrete";"HILTI AKTIENGESELLSCHAFT";"Feldkircherstrasse 100 Postfach 333";9494;Schaan,;Liechtenstein;DIBt;"EAD 330499-00-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/12620;04/0030;2;11/09/2014;"Insulation support KEW TSD 8";"Plastic Anchors for ETICS used as an EAD";"Kunststofferzeugnisse GmbH Wilthen";"Dresdener Straβe 19";02681;Wilthen;Germany;DIBt;"ETAG 014 used as EAD";1997/0463/EC;2+
https://www.eota.eu/etassessments/12723;04/0033;2;28/06/2018;"RÖFIX LIGHT EPS-Wärmedämmsystem,HASITHERM EPS-LIGHT-Wärmedämmverbundsystem,FIXITHERM.EPS LIGHT-wärmedämmverbundsystem,KREISEL EPS LIGHT-wärmedämmverbundsystem";"External Thermal Insulation Composite Systems with rendering used as an EAD";"FIXIT Trockenmortel Holding AG";"Haldenstrasse 5";6342;Baar;Switzerland;OIB;"ETAG 004 used as EAD";1997/0556/EC;"1, 2+"
https://www.eota.eu/etassessments/12976;04/0034;3;27/06/2018;"RÖFIX W50 EPS-Wärmedämmsystem, RÖFIX POLY,EPS-Wärmedämmsystem, HASITHERM EPS DIEPLAST-S Wärmedämmverbund-system, FIXITherm EPS Dünnbett Wärmedämmverbundsystem, KREISEL EPS Dünnbett Wärmedämmverbundsystem";"External Thermal Composite Systems with rendering used as an EAD";"FIXIT Trockenmortel Holding AG";"Haldenstrasse 5";6342;Baar;Switzerland;OIB;"ETAG 004 used as EAD";1997/0556/EC;"1, 2+"
https://www.eota.eu/etassessments/8447;04/0035;1;23/01/2019;"MasterSeal Roof 2103";"Liquid applied water proofing kits used as an EAD";"BASF Coatings GmbH";"Donnerschweer Straße 372";26123;Oldenburg;Germany;DIBt;"ETAG 005 used as EAD";1998/0599/EC;3
https://www.eota.eu/etassessments/2791;04/0038;1;28/07/2016;"ASDO Tension Rod System";"Prefabricated tension rod systems with special end connectors";"ANKER-SCHROEDER.DE ASDO GMBH";"Hannöversche Straße 48";44143;Dortmund;Germany;DIBt;"EAD 200032-00-0602";1998/0214/EC
https://www.eota.eu/etassessments/7200;04/0043;1;25/04/2018;"Hilti Ceiling Anchor HK, HK-R, HK-HCR";"Metal anchors for use in concrete used as an EAD";"HILTI AG";"Feldkircherstrasse 100 Postfach 333";9494;Schaan,;Liechtenstein;DIBt;"ETAG 001 used as EAD";1997/0161/EC;2+
https://www.eota.eu/etassessments/4023;04/0045;1;14/09/2016;"CW 86 structural glazing, and CW 86-EF structural glazing";"Structural sealant glazing kits used as an EAD";"REYNAERS ALUMINIUM NV 2";"Oude Liersebaan 266";B-2570;Duffel;Belgium;SKG-IKOB;"ETAG 002 used as EAD";1996/0582/EC;"1, 2+"
https://www.eota.eu/etassessments/8085;04/0048;1;19/04/2018;"Cemix Wärmedämm-Verbundsystem mit EPS,Primafix ® premium Vollwärmeschutz mit EPS,Primafix ® classic Vollwärmeschutz mit EPS";"External Thermal Composite Systems with rendering used as an EAD";"Lasselsberger GmbH";"Wörth 1";3380;Pöchlarn;Austria;OIB;"ETAG 004 used as EAD";1997/0556/EC;"1, 2+"
https://www.eota.eu/etassessments/13098;04/0060;2;01/02/2018;"Powers Throughbolt PTB-ETA7-PRO";"Metal anchor for use in concrete used as an EAD";"Powers Dewalt Stanley Black&Decker Deutschland GmbH";"Black-&-Decker Str. 40";65510;Idstein;Germany;CSTB;"EAD 330232-00-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/3768;04/0061;1;28/07/2016;"MAPETHERM XPS";"External Thermal Insulation Composite System with renderings used ad an EAD";"Mapei S.P.A. 8";"via Cafiero, 22";20158;"MILANO (MI)";Italy;ITAB-ITC;"ETAG 004 used as EAD";1997/0556/EC;2+
https://www.eota.eu/etassessments/2232;04/0062;1;19/03/2015;REVITHERMONO;"External Thermal Insulation Composite System with rendering on expanded polystyrene for the use as external insulation to the walls of buildings";"PPG Architectural Coatings EMEA";"Immeuble « Les Fontaines » 10 rue Henri Sainte Claire Deville";F-92565;"Rueil Malmaison Cedex";France;CSTB;"ETAG 004 used as EAD";1997/556/EC;1
https://www.eota.eu/etassessments/1158;04/0064;1;28/08/2014;"EJOT SDM-T plus, SDF-K plus and SDF-S plus";"Plastic Anchors for ETICS used as an EAD";"EJOT Baubefestigungen GmbH 3";"In der Stockwiese 35";57334;"Bad Laasphe";Germany;DIBt;"ETAG 014 used as EAD";1997/0463/EC;1
https://www.eota.eu/etassessments/2760;04/0072;2;11/09/2016;"Kalm Verbundmörtel VMK-SF";"Metal anchors for use in concrete used as an EAD";"KALM Befestigungssysteme GmbH";"Marie-Curie-Straße 5";67661;Kaiserslautern;Germany;DIBt;"ETAG 001 used as EAD";1996/0582/EC;1
https://www.eota.eu/etassessments/14013;04/0076;2;01/07/2018;"SPIT ISO";"Plastic anchors for fixing of ETICS with rendering";SPIT;"Route de Lyon, BP 104";26501;Bourg-Les-Valance;France;CSTB;"EAD 330196-00-0604";1997/0463/EC;2+
https://www.eota.eu/etassessments/8081;04/0077;1;18/06/2018;"weber.therm family (with MW),weber.therm prestige (with MW),weber.therm freestyle (with MW),weber.therm family grob (with MW),weber.therm ETICS (with MW)";"External Thermal Composite Systems with rendering used as an EAD";"Saint-Gobain Weber";"Rue de Brie – B.P.84 - Servon";77253;"Brie-Compte-Robert cedex";France;OIB;"ETAG 004 used as EAD";1997/0556/EC;"1, 2+"
https://www.eota.eu/etassessments/8077;04/0078;2;27/06/2018;"RÖFIX FIRESTOP MW-Wärmedämmsystem,RÖFIX SPEED MW-Lamellen-Wärmedämmsystem,RÖFIX FIRESTOP LIGHT MW-Wärmedämmsystem,RÖFIX SPEED LIGHT MW-Lamellen-Wärmedämmsystem,HASIT HASITHERM MW-Basic-Putzsystem";"External Thermal Composite Systems with rendering used as an EAD";"FIXIT Trockenmortel Holding AG";"Haldenstrasse 5";6342;Baar;Switzerland;OIB;"ETAG 004 used as EAD";1997/0556/EC;"1, 2+"
https://www.eota.eu/etassessments/10622;04/0080;2;10/03/2020;"DÄMMSTATTs CI 040, KLIMA-TEC-FLOCK, biocell, DÄMMSTATTs CI Dämmschüttung, isofloc F, DÄMMSTATTs CI 040 bf, KLIMA-TEC-FLOCK bf, biocell bf, DÄMMSTATTs CI Dämmschüttung bf, isofloc bf";"In-situ formed loose fill thermal and/or acoustic insulation products made of vegetable fibres.";"Isofloc Dämmstatt GmbH";"Markgrafendamm 16";10245;Berlin;Germany;DIBt;"EAD 040138-01-1201";1997/0556/EC;3
https://www.eota.eu/etassessments/9122;04/0082;2;01/12/2021;HYPERDESMO;"Liquid Applied Roof Waterproofing Kit used as an EAD";"ALCHIMICA S.A.";"13 Oryzomylon str.";"122 44";"EGALEO / ATHENS";Greece;IETcc;"ETAG 005 used as EAD";1998/0599/EC
https://www.eota.eu/etassessments/8093;04/0086;1;27/06/2018;"MIXFIX Wärmedämm-Verbundsystem EPS";"External Thermal Composite Systems with rendering used as an EAD";"Mixfix Fassadensysteme Handels GmbH";"Wildpretstraße 18";1110;Wien;Austria;OIB;"ETAG 004 used as EAD";1997/0556/EC;"1, 2+"
